10	600
160	6065	6083
160	6071	6090
160	6054	6065
249	8875	8896
249	8872	8875
249	8875	8884
394	14556	14573
394	14549	14562
394	14554	14568
394	14552	14564
394	14551	14563
394	14555	14569
394	14538	14560
394	14553	14565
394	14543	14561
346	12603	12634
346	12600	12630
346	12598	12629
346	12604	12636
346	12602	12633
346	12603	12635
346	12599	12629
346	12601	12632
346	12597	12628
325	11660	11699
325	11700	11718
325	11700	11737
325	11668	11699
325	11661	11700
325	11664	11700
325	11682	11700
325	11678	11700
325	11670	11700
325	11699	11717
325	11692	11699
370	13611	13643
370	13608	13639
370	13606	13637
370	13607	13638
370	13610	13641
370	13609	13640
370	13604	13622
370	13611	13642
370	13605	13636
27	1085	1113
27	1084	1112
27	1086	1114
27	1088	1115
352	12892	12910
352	12897	12913
352	12882	12903
352	12894	12911
352	12883	12904
352	12896	12913
352	12884	12905
352	12893	12910
352	12898	12914
352	12886	12907
352	12885	12906
301	10722	10749
301	10728	10750
301	10749	10762
301	10727	10749
301	10721	10742
301	10723	10765
301	10748	10757
301	10743	10751
301	10740	10753
301	10751	10763
301	10726	10748
368	13543	13557
368	13540	13557
368	13539	13558
368	13541	13558
87	3290	3321
87	3308	3324
87	3314	3327
87	3314	3328
87	3291	3321
87	3312	3326
87	3287	3317
87	3307	3323
87	3313	3326
87	3312	3325
87	3288	3319
163	6200	6208
163	6196	6207
163	6209	6211
163	6193	6201
163	6186	6199
163	6186	6214
163	6186	6195
163	6197	6209
163	6190	6202
163	6208	6216
163	6186	6206
260	9318	9330
260	9318	9325
260	9318	9324
196	7493	7505
196	7501	7505
380	13995	14013
380	13997	14014
380	13993	14011
380	13999	14016
380	13992	14010
380	14001	14019
380	14005	14023
380	14002	14020
380	13998	14015
380	14003	14021
178	6776	6807
178	6778	6811
178	6780	6813
178	6779	6812
178	6777	6808
178	6777	6809
178	6775	6807
70	2749	2768
70	2751	2771
70	2750	2768
70	2747	2754
70	2786	2787
70	2755	2786
70	2745	2749
70	2774	2788
70	2745	2750
70	2779	2781
70	2762	2788
167	6329	6364
167	6331	6366
167	6330	6365
167	6327	6362
167	6328	6364
167	6327	6361
36	1438	1464
36	1446	1471
36	1450	1475
36	1439	1466
36	1445	1469
36	1439	1465
36	1440	1465
36	1440	1466
36	1448	1473
394	14549	36	1439
370	13607	380	14005
70	2755	167	6328
306	10943	380	14005
346	12600	260	9318
306	10935	294	10447
325	11661	380	13993
177	6758	163	6196
95	3587	380	13995
294	10447	370	13608
160	6056	352	12886
158	5990	130	4889
155	5863	27	1086
282	10099	163	6197
248	8829	87	3308
346	12604	87	3288
158	5983	352	12893
121	4552	163	6197
346	12604	87	3288
150	5645	167	6329
394	14555	178	6779
394	14556	352	12894
370	13605	167	6331
294	10452	160	6073
0	0000	335	12110
306	10936	233	8489
75	2879	150	5650
75	2875	394	14553
223	8222	121	4554
130	4887	27	1084
150	5649	121	4553
294	10443	87	3288
380	14003	36	1448
130	4902	150	5656
346	12598	368	13541
150	5646	325	11668
158	5977	352	12897
370	13609	163	6209
130	4865	177	6750
150	5658	301	10749
167	6331	36	1439
155	5867	27	1088
155	5867	70	2745
380	13997	36	1450
370	13609	87	3288
309	11056	394	14556
121	4558	70	2779
155	5863	352	12894
155	5868	70	2755
325	11700	87	3312
158	5976	177	6746
177	6746	36	1450
335	12113	301	10743
158	5981	155	5867
325	11660	178	6779
75	2865	394	14552
294	10447	443	16512
346	12604	163	6209
160	6072	346	12603
95	3587	352	12886
75	2878	335	12122
163	6200	380	13998
306	10937	0	0000
309	11060	121	4555
75	2872	177	6736
155	5856	178	6778
216	8069	325	11700
150	5651	335	12113
282	10112	95	3583
150	5653	155	5856
158	5990	130	4889
282	10107	210	7924
75	2870	121	4568
248	8829	87	3308
282	10101	325	11660
335	12113	281	10070
335	12120	87	3307
335	12113	325	11692
443	16512	346	12598
370	13605	70	2745
158	5977	443	16515
155	5856	394	14552
75	2868	370	13607
158	5983	150	5649
216	8068	121	4555
294	10447	155	5868
177	6746	301	10740
150	5651	163	6209
443	16512	352	12883
75	2868	370	13607
95	3587	325	11660
394	14553	167	6330
95	3581	249	8875
260	9318	178	6779
380	13997	36	1450
335	12113	325	11660
306	10935	352	12883
130	4887	150	5657
352	12884	131	4916
158	5990	87	3314
346	12601	178	6777
306	10937	87	3290
309	11056	335	12119
95	3586	163	6186
177	6750	163	6196
158	5981	155	5867
309	11079	196	7493
394	14554	380	13998
260	9318	178	6779
394	14555	36	1448
294	10443	233	8489
223	8222	352	12886
177	6737	155	5853
370	13605	87	3287
121	4555	380	14003
150	5650	70	2755
306	10935	346	12598
346	12599	368	13541
306	10935	70	2755
87	3287	178	6780
352	12884	131	4916
306	10941	325	11661
394	14549	36	1439
163	6200	380	14005
282	10112	249	8875
87	3290	178	6777
335	12113	260	9318
306	10942	121	4553
121	4568	233	8489
130	4874	163	6209
75	2872	306	10937
150	5651	87	3288
158	5984	75	2874
160	6056	167	6330
346	12600	352	12886
87	3290	178	6777
130	4874	95	3581
150	5646	36	1445
155	5862	178	6777
75	2871	178	6775
352	12883	368	13541
130	4889	294	10463
309	11050	380	13998
216	8069	70	2750
309	11057	233	8489
150	5649	380	14005
306	10936	36	1438
346	12599	352	12894
155	5861	178	6777
325	11660	36	1438
335	12119	155	5853
248	8825	87	3314
177	6758	163	6190
325	11664	36	1440
260	9318	178	6779
294	10445	155	5861
335	12113	260	9318
294	10463	70	2762
27	1085	380	14005
177	6746	155	5861
150	5653	346	12603
158	5983	394	14554
346	12597	352	12893
177	6741	380	13997
301	10740	178	6777
309	11056	178	6778
158	5976	443	16515
394	14551	352	12893
335	12110	87	3291
306	10935	352	12883
394	14556	346	12603
130	4887	87	3290
95	3592	443	16515
394	14549	36	1440
346	12600	260	9318
352	12886	163	6186
216	8069	325	11700
325	11660	36	1438
294	10463	70	2762
352	12883	368	13539
158	5977	178	6777
95	3586	380	13992
158	5983	352	12892
158	5987	130	4887
155	5868	178	6778
160	6072	27	1086
346	12603	178	6778
233	8482	325	11699
294	10443	233	8489
158	5977	177	6736
75	2870	70	2779
282	10114	301	10727
75	2868	346	12602
155	5868	346	12598
75	2870	121	4568
346	12600	325	11668
121	4548	163	6193
121	4552	163	6197
282	10101	294	10443
177	6737	352	12894
155	5862	178	6777
0	0001	352	12882
158	5977	177	6746
301	10743	163	6209
130	4889	309	11079
443	16515	155	5862
121	4554	87	3288
294	10443	380	13992
325	11661	352	12884
248	8829	70	2745
294	10445	155	5861
95	3583	233	8482
325	11668	178	6779
306	10936	380	13992
352	12885	178	6777
282	10099	121	4545
178	6775	36	1439
178	6779	281	10070
325	11700	87	3312
0	0002	150	5645
325	11670	370	13605
301	10748	70	2774
264	9491	233	8482
306	10937	177	6741
155	5853	160	6073
163	6209	260	9318
325	11660	178	6779
130	4862	87	3288
160	6078	87	3312
335	12113	325	11660
75	2871	309	11052
325	11678	380	13993
306	10935	346	12599
75	2868	309	11050
150	5646	260	9318
335	12118	370	13607
121	4554	335	12113
306	10935	294	10447
352	12896	301	10740
121	4558	301	10743
155	5862	178	6777
121	4568	178	6779
352	12883	368	13541
282	10112	249	8875
294	10447	155	5856
394	14551	163	6200
380	13997	167	6327
368	13543	380	13997
282	10114	352	12882
282	10101	325	11668
75	2868	150	5649
346	12603	178	6778
121	4558	325	11660
370	13606	36	1446
216	8062	233	8482
282	10114	121	4553
95	3586	163	6186
443	16515	368	13543
346	12599	352	12894
121	4554	335	12120
95	3592	36	1446
75	2868	160	6065
294	10462	95	3581
380	13995	178	6779
27	1088	87	3313
75	2865	178	6778
87	3288	36	1445
75	2867	36	1440
306	10936	233	8489
155	5868	394	14556
325	11692	163	6186
352	12896	36	1450
150	5651	121	4555
75	2865	177	6737
177	6737	346	12603
158	5977	130	4902
95	3587	380	13995
368	13540	178	6777
95	3592	335	12110
155	5856	394	14552
282	10101	121	4568
158	5981	306	10941
177	6741	443	16515
121	4545	210	7917
282	10101	352	12886
325	11682	380	13993
0	0002	178	6778
294	10445	368	13543
130	4865	177	6750
294	10447	380	14002
294	10445	155	5861
158	5984	346	12603
394	14555	87	3288
75	2871	160	6070
294	10447	167	6328
306	10937	155	5861
150	5653	155	5853
150	5658	380	14005
0	0002	178	6778
178	6777	36	1450
74	2845	2846
74	2844	2849
74	2846	2850
74	2849	2851
74	2855	2857
74	2856	2862
255	9108	9122
255	9112	9130
255	9107	9121
255	9109	9124
255	9114	9136
255	9098	9115
255	9113	9132
255	9106	9120
255	9100	9118
255	9111	9127
255	9103	9119
129	4836	4850
129	4833	4842
129	4826	4841
129	4848	4853
129	4847	4854
129	4837	4851
129	4825	4840
129	4829	4852
129	4821	4847
225	8284	8314
225	8280	8312
225	8284	8305
295	10491	10514
295	10491	10513
295	10487	10509
295	10489	10510
295	10493	10515
295	10490	10512
295	10479	10501
295	10486	10508
360	13223	13249
360	13221	13247
360	13219	13245
360	13225	13250
360	13228	13253
360	13227	13252
360	13222	13248
360	13226	13251
360	13220	13246
278	10002	9992
278	9988	9994
278	10003	10008
278	10010	9987
278	10000	10004
278	9982	9996
278	10012	9982
278	10011	9992
278	10000	9999
278	10006	9987
278	10008	9983
316	11334	11353
316	11340	11360
316	11354	11363
316	11355	11361
316	11331	11350
316	11333	11352
316	11330	11348
316	11338	11357
316	11339	11358
316	11335	11353
316	11332	11351
284	10158	10181
284	10155	10171
284	10158	10173
284	10161	10164
379	13954	13967
379	13967	13989
379	13963	13979
379	13958	13974
379	13955	13969
379	13949	13968
379	13973	13988
379	13953	13966
379	13980	13985
379	13966	13984
379	13964	13982
304	10868	10884
304	10859	10876
304	10867	10883
304	10869	10886
304	10860	10877
304	10867	10882
304	10864	10879
304	10871	10888
304	10870	10887
304	10856	10875
304	10862	10878
300	10703	10710
300	10684	10686
300	10710	10720
300	10709	10710
300	10686	10689
217	8099	8112
217	8100	8111
217	8085	8106
217	8095	8097
217	8095	8103
217	8100	8110
251	8948	8966
251	8943	8962
251	8947	8965
251	8951	8969
251	8945	8964
251	8940	8961
251	8941	8962
251	8954	8978
251	8950	8968
251	8952	8972
251	8949	8967
412	15318	15363
412	15317	15362
412	15336	15353
412	15336	15338
412	15320	15341
412	15315	15331
412	15318	15339
412	15332	15356
412	15330	15353
412	15316	15362
412	15349	15364
169	6416	6432
169	6424	6441
169	6419	6435
169	6426	6429
169	6426	6439
169	6425	6437
55	2163	2188
55	2159	2185
55	2156	2183
55	2149	2180
55	2160	2186
55	2162	2187
55	2147	2178
55	2154	2182
55	2155	2183
55	2150	2181
329	11874	11886
329	11885	11898
329	11884	11896
329	11882	11888
329	11879	11887
329	11867	11884
329	11870	11885
422	15721	15744
422	15730	15743
422	15707	15739
422	15703	15750
422	15743	15749
422	15709	15740
422	15721	15737
422	15708	15739
422	15705	15738
422	15704	15751
422	15747	15751
113	4231	4243
113	4229	4231
139	5218	5250
139	5229	5256
139	5217	5247
139	5214	5242
139	5225	5253
139	5216	5246
139	5224	5252
139	5230	5256
139	5233	5258
139	5219	5250
139	5227	5254
64	2537	2547
64	2535	2540
64	2538	2541
64	2518	2524
64	2541	2543
64	2541	2549
64	2530	2542
64	2542	2551
64	2537	2539
307	10976	10993
307	10975	10991
307	10974	10991
307	10982	10995
307	10970	10990
307	10983	10996
307	10973	10991
307	11004	11007
307	10971	11000
307	10969	11005
307	10963	11005
184	7032	7064
184	7033	7066
184	7034	7068
257	9196	9216
257	9181	9207
257	9177	9211
257	9179	9194
257	9177	9179
257	9204	9220
257	9194	9211
275	9888	9894
354	12971	12983
354	12977	12988
20	0800	0827
51	2010	2014
51	1998	2010
285	10187	10188
285	10193	10195
175	6655	6676
175	6652	6672
175	6651	6671
175	6653	6673
175	6654	6675
175	6650	6669
175	6656	6678
175	6648	6667
405	15038	15057
405	15033	15054
405	15039	15058
405	15027	15050
405	15035	15055
405	15045	15063
405	15037	15056
405	15025	15049
405	15042	15059
405	15028	15051
405	15029	15052
6	0233	0270
6	0234	0270
14	0574	0603
14	0571	0601
14	0567	0595
14	0572	0601
14	0577	0606
14	0578	0608
14	0568	0596
14	0570	0600
14	0566	0589
14	0566	0588
351	12849	12875
351	12851	12877
351	12855	12881
351	12852	12878
351	12838	12870
351	12842	12872
351	12848	12874
351	12853	12880
351	12837	12869
351	12854	12880
351	12837	12868
347	12651	12669
347	12654	12674
347	12638	12657
347	12652	12671
347	12639	12658
347	12649	12666
347	12658	12682
347	12648	12664
347	12657	12681
347	12662	12688
347	12655	12677
209	7898	7909
209	7895	7902
209	7898	7901
209	7900	7911
116	4323	4350
116	4324	4351
116	4332	4363
116	4331	4361
116	4322	4349
116	4325	4353
116	4321	4348
116	4325	4352
116	4328	4357
116	4329	4358
116	4330	4360
277	9966	9967
11	0436	0470
11	0436	0469
171	6499	6504
171	6506	6512
171	6500	6523
171	6491	6521
171	6490	6525
171	6489	6505
171	6486	6514
171	6493	6519
171	6503	6525
171	6498	6523
171	6493	6495
267	9596	9597
267	9597	9607
267	9616	9620
267	9597	9605
84	3188	3207
84	3195	3196
295	10487	64	2541
251	8947	422	15709
251	8952	139	5229
139	5219	14	0574
360	13227	14	0570
316	11340	139	5225
6	0233	116	4325
209	7898	171	6489
74	2846	64	2538
55	2150	20	0800
64	2538	171	6499
255	9111	351	12851
304	10869	422	15704
14	0577	347	12648
300	10684	422	15709
422	15704	14	0572
74	2846	217	8095
295	10487	14	0577
304	10868	307	10969
278	9982	251	8948
360	13226	14	0566
55	2150	285	10193
412	15332	171	6499
307	10970	184	7034
379	13955	116	4325
74	2856	351	12851
255	9111	217	8099
379	13953	329	11879
422	15705	113	4231
304	10862	139	5216
351	12851	116	4332
139	5230	14	0574
129	4826	184	7032
251	8949	139	5224
422	15709	139	5227
360	13226	412	15349
278	9982	351	12848
139	5218	116	4321
255	9108	307	10974
255	9111	351	12851
307	10975	116	4328
379	13955	116	4325
316	11335	116	4331
329	11879	139	5214
412	15317	11	0436
255	9107	55	2149
284	10155	251	8950
251	8945	139	5214
74	2845	55	2150
316	11335	184	7032
307	10973	285	10193
74	2849	316	11355
129	4847	379	13980
251	8950	84	3195
422	15747	20	0800
379	13954	267	9597
139	5216	171	6493
300	10684	412	15318
360	13222	14	0568
116	4330	84	3181
64	2541	285	10193
139	5218	351	12842
129	4825	116	4322
329	11884	64	2537
251	8954	84	3195
360	13225	139	5218
295	10479	405	15028
251	8949	307	10963
307	10974	116	4328
14	0570	116	4331
307	10969	11	0436
295	10486	55	2163
129	4837	64	2537
51	2010	116	4328
405	15028	171	6493
307	10971	351	12838
55	2154	175	6653
251	8949	307	10963
129	4847	171	6498
217	8100	351	12852
329	11882	267	9616
169	6424	51	1998
169	6424	64	2538
217	8099	64	2541
278	10000	257	9177
422	15704	14	0571
304	10869	422	15747
184	7033	6	0234
251	8950	84	3195
139	5233	347	12655
64	2541	14	0571
169	6424	64	2538
251	8952	11	0436
304	10868	405	15045
304	10867	6	0233
251	8952	307	10976
251	8950	405	15028
360	13226	184	7034
255	9108	405	15039
278	10000	11	0436
64	2537	354	12971
405	15035	116	4325
304	10862	14	0567
307	10970	84	3181
74	2856	255	9108
278	10008	251	8950
225	8284	351	12852
307	10975	116	4328
329	11882	84	3195
139	5224	347	12652
300	10709	347	12655
351	12837	84	3195
255	9107	116	4323
304	10867	347	12654
129	4821	64	2535
295	10487	64	2537
304	10864	422	15747
55	2162	209	7898
295	10491	347	12657
422	15747	351	12851
55	2155	116	4331
304	10869	51	2010
316	11339	379	13963
255	9111	285	10193
316	11333	405	15028
405	15028	351	12837
360	13227	422	15707
304	10871	14	0578
347	12648	116	4332
307	10975	347	12648
139	5227	14	0572
422	15704	14	0572
360	13225	11	0436
255	9100	304	10862
175	6648	347	12648
304	10859	14	0572
255	9113	51	2010
316	11332	412	15317
422	15708	184	7032
278	9988	307	10971
284	10155	329	11882
285	10193	116	4324
300	10703	175	6654
64	2541	116	4328
379	13949	304	10859
360	13221	267	9616
412	15317	257	9177
316	11334	405	15038
74	2846	64	2538
351	12837	267	9616
304	10856	116	4325
257	9177	116	4321
139	5230	351	12842
329	11885	171	6506
379	13958	412	15317
360	13227	379	13954
360	13227	405	15033
64	2541	307	11004
300	10703	64	2537
307	10983	20	0800
255	9113	307	10983
64	2530	307	10970
255	9109	11	0436
74	2845	422	15704
55	2160	347	12652
129	4837	354	12977
129	4826	360	13227
316	11339	405	15035
329	11882	139	5225
129	4833	139	5225
139	5224	347	12652
6	0233	116	4325
278	10000	11	0436
295	10486	307	10971
278	10000	257	9194
351	12849	347	12649
251	8951	184	7032
304	10870	175	6655
20	0800	175	6654
251	8945	184	7034
255	9113	14	0577
360	13226	14	0566
405	15028	351	12837
255	9100	316	11333
139	5233	64	2537
278	10000	257	9194
55	2149	14	0570
422	15704	307	11004
225	8280	412	15318
304	10867	116	4329
255	9108	307	10975
422	15743	277	9966
412	15316	422	15705
351	12837	84	3195
304	10867	351	12852
14	0572	116	4324
129	4837	295	10491
251	8943	116	4325
139	5216	351	12837
255	9112	55	2162
284	10161	55	2163
225	8280	412	15318
278	10002	217	8100
360	13222	184	7032
225	8284	55	2159
74	2855	129	4847
255	9107	14	0568
412	15317	257	9194
139	5217	14	0570
14	0571	116	4324
139	5219	351	12842
316	11335	307	10971
129	4826	316	11330
255	9113	64	2541
278	10006	169	6424
278	10010	300	10703
113	4229	257	9179
139	5230	351	12842
74	2845	64	2537
129	4837	300	10686
225	8284	351	12852
251	8947	412	15318
307	10973	14	0572
295	10491	304	10869
405	15033	14	0568
295	10491	347	12657
14	0571	116	4324
251	8948	347	12639
304	10864	14	0577
304	10871	422	15730
412	15318	116	4324
74	2844	175	6653
278	10006	257	9196
184	7032	405	15033
129	4833	175	6653
307	10970	84	3181
422	15705	139	5224
255	9100	304	10862
360	13220	278	10000
422	15705	113	4231
304	10859	347	12648
412	15332	169	6424
295	10489	139	5229
360	13227	351	12838
184	7032	14	0570
379	13949	300	10684
55	2160	139	5229
139	5219	347	12649
295	10486	55	2149
304	10856	251	8948
51	1998	171	6499
74	2844	329	11885
360	13228	285	10193
74	2845	295	10491
316	11331	379	13955
184	7034	84	3195
379	13980	422	15743
55	2149	175	6650
139	5218	307	10963
251	8941	184	7032
74	2856	307	11004
251	8949	55	2147
129	4829	307	10976
139	5229	14	0574
251	8945	351	12837
278	10000	251	8949
360	13221	278	10008
329	11882	405	15037
74	2856	347	12648
278	10008	84	3181
329	11879	14	0566
139	5233	51	2010
405	15035	116	4325
55	2150	422	15709
113	4231	11	0436
295	10493	64	2535
278	10003	379	13966
74	2856	422	15709
412	15315	351	12854
422	15705	14	0574
255	9098	329	11870
316	11339	6	0233
307	10969	351	12849
284	10161	379	13964
175	6656	351	12853
139	5229	347	12649
405	15028	351	12837
307	10976	14	0574
251	8945	171	6493
251	8947	347	12648
55	2156	116	4331
175	6651	351	12848
316	11339	304	10870
412	15316	11	0436
255	9106	267	9616
64	2541	14	0572
360	13220	278	10000
225	8280	412	15318
405	15037	351	12837
255	9103	300	10710
266	9570	9573
266	9570	9587
79	3021	3047
79	3017	3043
79	3020	3047
79	3023	3049
79	3022	3048
79	3018	3044
212	7973	7995
212	7970	7984
161	6115	6140
161	6114	6139
161	6113	6137
161	6101	6125
161	6112	6135
161	6112	6136
161	6100	6119
161	6102	6127
161	6103	6129
161	6109	6133
161	6110	6134
91	3438	3461
91	3435	3455
91	3434	3456
91	3433	3436
91	3454	3460
91	3444	3460
91	3434	3463
91	3435	3466
91	3444	3451
91	3432	3439
91	3451	3454
214	8027	8037
214	8021	8037
214	8022	8034
214	8028	8040
214	8017	8028
214	8025	8034
96	3609	3626
96	3603	3624
96	3607	3625
77	2941	2964
77	2951	2970
77	2932	2958
77	2946	2967
77	2935	2960
77	2938	2962
77	2953	2972
77	2947	2968
77	2933	2959
132	4966	4986
132	4954	4980
132	4949	4952
132	4952	4978
132	4956	4981
132	4951	4977
132	4959	4983
132	4957	4982
132	4961	4984
132	4963	4985
118	4416	4439
118	4420	4446
118	4418	4445
118	4414	4436
118	4419	4446
118	4416	4438
118	4417	4442
118	4413	4436
118	4423	4451
118	4425	4454
118	4424	4453
119	4463	4485
119	4480	4498
119	4457	4481
119	4461	4484
119	4459	4482
119	4469	4488
119	4464	4486
119	4477	4495
119	4479	4497
119	4460	4483
119	4476	4492
68	2662	2680
68	2669	2690
68	2657	2676
68	2665	2682
68	2659	2677
68	2668	2688
68	2660	2678
68	2654	2673
68	2667	2685
68	2666	2684
331	11958	11961
331	11942	11950
331	11956	11957
331	11929	11962
331	11926	11957
331	11936	11949
331	11939	11958
331	11923	11959
331	11943	11956
331	11926	11943
331	11925	11947
256	9144	9164
256	9152	9166
256	9138	9163
256	9159	9169
256	9156	9168
256	9162	9173
256	9153	9167
256	9143	9164
256	9150	9165
192	7360	7386
192	7358	7383
192	7365	7388
192	7359	7385
192	7356	7381
38	1531	1551
38	1517	1538
38	1528	1547
38	1519	1541
38	1527	1546
38	1532	1552
38	1529	1549
38	1525	1545
38	1523	1544
135	5058	5093
135	5059	5096
135	5061	5099
135	5057	5093
135	5060	5098
427	15889	15902
427	15891	15903
427	15898	15907
427	15909	15918
427	15914	15920
427	15881	15896
427	15882	15902
427	15894	15904
427	15886	15901
427	15897	15906
427	15900	15912
382	14098	14110
382	14102	14110
382	14092	14097
382	14110	14111
382	14092	14096
382	14073	14094
382	14068	14110
382	14071	14093
385	14198	14222
385	14199	14223
385	14196	14219
385	14197	14221
385	14199	14224
26	1047	1063
26	1051	1069
26	1052	1071
26	1035	1064
26	1033	1075
26	1034	1056
26	1048	1064
26	1062	1073
26	1050	1066
26	1045	1060
26	1038	1055
185	7075	7104
185	7079	7108
185	7078	7107
185	7076	7105
185	7083	7111
185	7073	7102
185	7071	7100
185	7082	7110
185	7087	7115
185	7070	7094
185	7088	7116
174	6620	6646
174	6602	6632
174	6602	6631
174	6613	6638
174	6609	6635
174	6600	6627
174	6618	6645
174	6614	6639
174	6598	6626
174	6610	6635
174	6617	6644
350	12806	12826
350	12814	12829
350	12799	12823
350	12818	12832
350	12817	12830
350	12796	12822
350	12800	12824
350	12801	12824
350	12819	12833
350	12820	12834
350	12817	12831
57	2243	2265
57	2240	2263
57	2231	2256
57	2242	2264
57	2232	2256
57	2236	2260
57	2234	2257
57	2243	2266
57	2238	2261
153	5769	5795
153	5779	5804
153	5765	5790
153	5770	5796
153	5769	5794
153	5768	5793
153	5778	5803
153	5775	5801
153	5772	5798
153	5777	5802
153	5766	5791
435	16186	16215
435	16185	16213
435	16182	16208
435	16183	16210
435	16184	16211
435	16181	16207
45	1761	1781
45	1753	1773
45	1751	1772
45	1762	1783
45	1763	1784
45	1747	1767
45	1748	1768
45	1754	1774
45	1755	1775
45	1749	1770
45	1757	1777
268	9634	9635
303	10836	10853
303	10831	10843
303	10810	10836
303	10819	10839
303	10835	10851
303	10832	10844
303	10827	10841
303	10825	10840
303	10830	10842
303	10818	10839
303	10815	10838
128	4801	4812
128	4813	4817
128	4807	4813
128	4799	4800
128	4799	4814
148	5569	5602
148	5573	5604
148	5565	5599
148	5568	5601
148	5570	5603
148	5571	5603
80	3061	3068
80	3058	3067
436	16222	16254
436	16221	16253
436	16218	16257
436	16220	16252
436	16223	16255
436	16218	16251
436	16219	16257
436	16221	16258
436	16219	16251
436	16224	16256
179	6832	6847
179	6816	6844
179	6814	6827
179	6819	6850
179	6820	6846
179	6815	6844
179	6819	6842
179	6829	6850
179	6826	6838
179	6829	6842
179	6828	6848
425	15818	15847
425	15820	15851
425	15819	15849
425	15819	15850
425	15821	15852
340	12324	12341
340	12327	12336
340	12328	12337
340	12336	12340
340	12326	12341
383	14144	14158
383	14118	14158
383	14134	14146
383	14113	14117
383	14115	14133
383	14117	14132
383	14152	14154
71	2806	2815
26	1035	57	2243
132	4956	148	5569
91	3435	179	6829
91	3434	340	12326
331	11926	303	10827
68	2668	303	10836
26	1048	179	6819
118	4424	38	1525
161	6110	128	4799
256	9150	435	16186
256	9150	427	15894
79	3023	91	3432
77	2947	132	4954
79	3023	256	9143
350	12806	179	6819
38	1523	174	6610
128	4801	179	6819
91	3438	382	14092
132	4951	26	1050
350	12819	303	10836
256	9144	303	10825
161	6112	118	4417
427	15891	128	4801
96	3603	179	6819
119	4457	436	16219
161	6109	26	1033
77	2933	185	7078
385	14198	340	12324
91	3434	148	5571
79	3020	148	5569
427	15882	340	12326
68	2657	331	11925
119	4464	57	2238
350	12800	303	10832
77	2946	57	2238
91	3435	427	15898
161	6101	128	4799
266	9570	427	15894
385	14197	185	7071
153	5766	435	16182
135	5061	179	6820
192	7359	148	5569
214	8021	45	1763
91	3451	331	11942
91	3435	179	6829
382	14068	153	5765
161	6115	153	5770
135	5061	57	2238
57	2240	179	6815
161	6114	118	4420
192	7360	174	6602
26	1035	57	2243
118	4414	179	6819
79	3022	303	10835
68	2657	135	5061
161	6113	192	7356
427	15891	45	1747
79	3021	148	5569
38	1519	153	5779
331	11936	256	9153
96	3609	179	6826
57	2232	179	6815
161	6112	192	7365
161	6110	435	16184
161	6115	153	5770
91	3438	38	1531
77	2946	148	5573
91	3435	57	2243
57	2231	45	1753
38	1532	174	6610
185	7076	179	6828
350	12799	179	6828
382	14110	57	2243
132	4963	174	6610
77	2933	331	11925
38	1527	382	14092
118	4414	26	1038
57	2242	303	10836
256	9144	45	1749
