10	250
3002919	7	3136088	6
3002919	7	3428515	82
3010029	45	3727391	14
3010029	46	3428515	2
3010029	43	4288659	3
3010029	43	5743918	6
3010029	43	3083350	13
3010029	45	3109458	13
3012064	59	3205229	24
3012064	16	3135437	20
3014081	16	3637437	9
3018179	15	3478560	6
3018179	2	3610536	13
3018179	8	3492983	3
3018179	8	5949163	1
3018796	45	3775423	8
3018796	77	4765240	10
3018796	45	3413756	14
3019764	12	3496251	6
3019764	8	3725626	5
3038155	14	3382024	25
3038155	14	3109458	6
3038155	47	3083350	8
3038155	42	5949163	5
3040363	52	5559534	7
3040363	41	3208606	10
3040363	46	3089930	10
3056569	31	3637437	9
3056569	31	3499499	31
3056569	49	3124220	16
3056569	41	3378752	43
3068246	3	3341618	12
3068246	3	3617800	4
3068246	3	6031709	5
3068246	6	3136088	6
3083350	17	3413756	14
3083350	17	5223413	26
3083350	13	3211555	7
3083350	4	3124220	32
3083350	17	3345359	11
3089930	6	3496251	6
3089930	6	5092806	16
3089930	10	4739096	27
3104621	33	4487976	24
3104621	19	3794375	35
3109458	6	4137167	39
3109458	13	4358560	19
3109458	6	4487976	24
3109458	6	4288659	9
3109458	6	3610536	13
3124220	32	3205229	66
3124220	32	3725626	24
3124220	16	3978373	13
3135437	20	3981496	19
3135437	23	3728402	13
3135437	20	3240008	1
3135437	23	3542131	3
3136088	6	3319591	31
3136088	6	4519587	45
3148464	17	3319591	31
3148464	7	3638582	12
3155377	1	4751000	20
3155377	4	4377242	26
3155377	8	3529629	11
3155377	4	3378752	39
3185569	12	4959070	20
3185569	12	3912429	8
3185569	4	3617800	15
3185569	6	3728402	13
3185569	12	4089170	26
3185569	6	3931810	12
3188373	50	5223413	7
3188420	19	5694385	12
3188420	9	4480988	5
3188420	8	4555351	30
3205229	62	5052211	32
3205229	24	3637437	9
3208606	4	3864922	5
3208606	17	6219361	22
3211555	7	3441675	17
3240008	1	5681403	2
3240008	12	5052065	21
3240008	1	3441675	44
3240008	12	4137167	31
3240008	1	4959070	20
3240008	12	3727391	20
3241429	21	4328139	4
3241429	21	3441675	17
3241429	21	3341618	13
3241429	11	3529629	15
3269734	7	6031709	5
3269734	7	4391932	39
3269734	7	4137167	5
3279084	3	3637437	7
3279125	4	4765240	10
3279125	4	4377242	26
3279125	16	3981330	14
3279125	4	3382024	13
3292846	83	4486486	12
3292846	26	3862996	3
3292846	75	5092806	16
3319591	31	5949163	5
3319591	31	4751000	5
3341618	16	4476068	4
3345359	11	3725626	24
3345359	31	3912429	8
3345359	11	6031709	5
3345359	28	5694385	12
3378752	39	3499499	19
3382024	29	4089170	14
3382024	29	3637437	9
3382024	29	3428515	137
3382024	13	4486486	1
3382024	13	3638582	12
3399968	1	5903584	30
3399968	1	5694385	12
3399968	9	5949163	1
3413756	14	4476068	15
3413756	22	5223413	31
3413756	22	3981330	14
3428515	2	3614131	13
3428515	116	4486486	12
3428515	116	3794219	11
3428515	116	4480973	5
3437260	13	4306222	2
3441675	44	3931810	51
3441675	22	3864922	1
3478560	6	4876284	2
3478560	6	3556021	4
3478560	6	3777870	19
3478560	6	4358560	12
3478560	6	5680642	6
3492983	21	3499499	31
3492983	7	3610536	13
3492983	21	3725626	24
3496251	6	4959070	15
3496251	6	4089170	13
3496251	6	6219361	6
3496251	6	3912429	3
3499499	19	4328139	4
3499499	19	4526040	4
3515381	60	4525233	4
3515381	56	4315795	2
3515381	78	4391932	7
3515381	45	4526040	4
3515381	4	6031709	5
3529629	11	4288659	3
3529629	11	4315795	4
3529629	17	4526040	4
3542131	5	3725626	3
3556021	13	5694385	12
3568265	13	4525233	35
3568265	19	5971068	12
3568265	29	6074154	7
3610536	13	6219361	7
3614131	32	4959070	15
3614131	43	5680642	6
3617800	4	5743918	22
3617800	4	3727391	20
3617800	15	3637437	7
3617800	15	3845763	3
3637437	9	4876284	16
3637437	9	4525233	21
3725626	11	3978373	13
3727391	10	3978373	13
3727391	14	4525233	4
3727391	20	5110983	14
3728402	13	4486486	7
3728402	13	4480973	5
3728402	13	4288659	1
3728402	13	4089170	27
3728402	13	4525233	21
3760378	3	4315795	18
3760378	3	4739096	21
3760378	3	4525233	35
3775423	4	4765240	10
3775423	8	4090878	11
3775423	19	3845763	10
3775423	4	5809867	16
3777870	19	5617665	18
3794219	9	4137167	31
3794375	39	5110983	9
3798384	12	4480973	5
3845763	25	4288659	9
3862996	3	4480973	5
3862996	3	4487976	15
3864922	15	5680642	21
3864922	1	6234845	12
3864922	15	4525233	31
3864922	1	4739096	29
3864922	5	5052211	32
3864922	1	6031709	34
3912429	13	6031709	5
3931810	51	6031709	34
3931810	20	5052065	17
3978373	13	6219361	6
3978373	13	5809867	7
3978642	21	4525233	35
3978642	21	5680642	21
3981330	14	5617665	18
3981330	14	5559534	7
4089170	26	4487976	24
4137167	36	4487976	15
4306222	14	4358560	12
4306222	14	5680642	21
4315795	18	4739096	41
4328139	12	4391932	7
4358560	22	5786096	8
4358560	12	4555351	28
4377242	26	5617665	18
4476068	15	4480988	3
4480973	5	5559534	7
4480988	3	5073287	14
4480988	5	5073287	12
4487976	24	5110983	14
4525233	31	4751000	20
4526040	4	5809867	16
4739096	74	5971068	12
4751000	20	5809867	8
4765240	10	5110983	9
4876284	25	5694385	12
4959070	20	5223413	31
5052211	15	5903584	32
5073287	14	5971068	12
5971068	12	6219361	15
2935259	18	20
2942070	15	19
2942070	19	32
2942070	15	25
2957696	11	14
2961993	7	8
2961993	7	17
2961993	8	17
2966255	15	19
2970551	17	32
2970551	25	26
2970551	17	26
2973513	11	15
3006818	14	44
3006818	14	28
3006818	5	11
3006818	44	51
3006818	5	33
3018358	11	15
3029344	16	27
3029344	28	32
3034542	8	21
3034542	6	15
3034542	6	8
3034542	8	15
3048050	17	23
3058260	1	8
3058260	7	8
3058260	1	33
3058260	8	33
3068922	5	8
3069114	13	19
3069114	8	13
3073087	13	34
3073087	25	34
3073087	17	25
3073087	13	32
3078850	6	7
3087728	10	13
3089283	13	16
3096939	2	4
3150050	43	48
3150050	1	39
3152983	5	21
3152983	4	21
3160546	8	12
3160546	12	14
3171360	8	10
3180116	5	21
3180116	21	26
3191505	32	35
3191505	35	47
3191505	23	25
3210615	3	20
3210615	14	16
3210615	10	14
3217416	3	15
3217416	15	23
3217416	8	20
3217416	12	15
3217416	2	15
3217416	3	18
3217416	23	32
3217416	2	3
3217416	8	12
3232025	4	6
3232025	30	88
3232025	44	87
3232025	54	109
3241009	2	39
3241009	44	50
3241009	3	44
3241009	25	50
3241009	3	39
3241009	2	25
3254521	16	27
3254521	15	27
3285044	35	97
3285044	6	20
3285198	27	30
3285198	14	23
3285198	12	30
3285198	12	32
3307728	15	25
3307728	25	32
3324753	23	26
3324753	14	26
3325268	4	13
3330402	4	19
3343487	12	29
3343487	25	29
3346260	5	10
3346260	5	16
3356995	27	38
3356995	12	15
3356995	15	27
3356995	2	12
3356995	31	38
3363696	5	12
3397096	10	24
3397096	7	18
3397096	18	24
3409160	9	20
3409160	34	51
3409160	34	37
3409160	10	20
3459751	33	40
3459751	35	40
3459751	3	40
3459751	16	40
3459751	6	8
3459751	6	35
3491663	9	41
3491663	9	38
3491663	37	38
3491663	38	41
3515425	7	30
3535459	19	20
3535459	19	24
3576094	5	20
3576094	11	20
3588361	19	26
3649055	9	12
3649055	1	7
3649055	7	9
3679760	1	25
3685063	9	13
3685063	5	13
3685063	5	22
3685063	13	16
3685063	9	16
3685063	4	16
3685063	5	16
3702531	8	12
3702531	4	28
3702531	12	13
3702531	13	28
3702531	8	13
3702531	4	13
3702531	12	28
3706952	8	36
3706952	31	43
3706952	6	15
3706952	6	8
3738662	9	16
3747326	18	37
3747326	37	41
3747326	16	41
3747326	25	37
3762213	57	138
3762213	16	138
3762213	35	200
3762213	26	206
3762213	16	151
3762213	20	133
3773347	1	5
3773347	1	9
3843467	52	72
3843467	3	40
3889070	6	23
3889070	11	23
3892016	25	31
3894551	6	16
3908990	1	14
3908990	1	8
3918035	11	15
3918035	25	41
3918035	25	36
3918035	15	41
3918035	6	11
3918035	6	41
3918035	15	36
3940602	1	5
3946610	6	9
3946610	6	11
3960069	26	31
3960069	18	26
3960069	2	31
3966682	6	15
3970180	25	42
3970180	25	26
3974065	14	21
3974065	2	19
3974065	19	21
3974065	7	19
3974065	2	7
3977374	1	31
3977374	1	35
3977374	31	38
3986726	10	16
3995646	6	11
4013659	15	22
4013659	9	15
4020291	13	19
4020291	11	21
4020291	13	45
4185974	3	6
4198135	1	50
4198135	48	50
4198135	22	49
4264614	13	16
4264614	9	16
4264614	9	13
4266732	5	12
4359869	1	24
4359869	1	7
4421617	18	24
4421617	24	51
4421617	38	45
4421617	38	51
4421617	24	38
4421617	18	38
4535029	8	12
4554203	13	17
4554203	2	13
4554203	4	13
4554203	2	30
4578203	4	26
4578203	12	26
4661932	10	17
4661932	10	30
4661932	17	30
4666955	17	22
4666955	5	22
4666955	5	17
4674232	4	19
4703025	26	31
4703025	26	40
4703025	26	44
4790982	15	25
4869921	10	11
4918175	8	16
4947229	6	20
5162684	11	15
5162684	15	25
5162684	11	14
5164828	19	41
5164828	22	41
5242830	4	16
5399497	9	10
5446745	7	14
5449559	16	19
5449559	2	10
5449559	10	16
5540978	17	31
5540978	6	17
5540978	6	31
5605786	6	7
5831542	27	43
6252408	3	10
2930119	15	3346260	10
2930119	15	5162684	14
2930119	15	3437115	14
2930119	15	3241009	44
2930119	15	3275500	6
2935259	20	4198135	32
2935259	20	4342178	1
2935259	20	3940602	5
2935259	18	2961993	8
2935259	11	2966255	19
2957696	14	3171360	8
2957696	11	3843467	3
2957696	14	3237887	7
2957696	14	3210615	10
2957696	14	4661932	10
2957696	11	3950424	3
2961993	17	3588361	19
2961993	8	4448905	15
2961993	7	3908990	1
2961993	17	4342178	7
2966255	19	3096939	4
2966255	19	4554203	28
2966255	15	3096939	2
2970551	17	3210615	14
2970551	26	3285198	1
2970551	32	5831542	43
2970551	32	3747326	49
2970551	17	3330402	19
2970551	25	4869921	11
2973513	15	4918175	16
2973513	15	3892016	31
2973513	15	3679760	1
2973513	15	3747326	49
2973513	15	3588361	26
3006818	33	3894551	6
3006818	44	3180116	21
3010926	3	3324753	26
3010926	8	3346260	16
3010926	8	3550714	19
3010926	3	3918035	25
3010926	8	3843467	10
3010926	8	4790982	24
3010926	3	3343487	21
3018358	15	3946610	11
3018358	15	4421617	30
3018358	15	3254466	7
3018358	11	4674232	19
3018358	11	3437115	14
3029344	36	3894551	16
3029344	28	4596402	10
3029344	32	3237887	7
3029344	3	3128061	1
3029344	18	3515425	30
3029344	16	5811827	9
3029344	27	3069114	8
3048050	17	5831542	43
3048050	23	3191505	32
3048050	17	3649055	9
3048050	23	4020291	13
3048050	23	4282631	2
3048050	23	4866928	14
3048050	23	3706952	31
3048050	23	3622236	13
3058260	33	3588361	26
3068922	5	3171360	8
3068922	8	4264614	13
3068922	5	3918035	41
3069114	26	6252408	3
3069114	8	4020291	45
3069114	19	4918175	8
3073087	17	3285044	97
3073087	13	3773347	9
3073087	30	3325268	4
3073087	13	4013659	22
3073087	34	5164828	19
3078850	7	3285044	16
3078850	7	3128061	18
3078850	12	4448905	15
3078850	7	5540978	17
3078850	7	3602819	1
3078850	12	3940602	5
3078850	7	3679760	1
3087728	13	4866928	14
3087728	10	3275500	6
3087728	13	4421617	38
3087728	13	3171360	20
3087728	10	4359869	1
3089283	16	3307728	25
3096939	11	4947229	20
3096939	2	3843467	10
3096939	2	4013659	22
3128061	18	4448905	15
3128061	1	4578203	12
3128061	18	3180116	9
3128061	1	3966682	6
3150050	43	3940602	5
3150050	3	3285198	23
3150050	43	4448905	15
3150050	36	3307728	32
3150050	39	5803970	6
3152983	21	3908990	8
3152983	5	4790982	24
3160546	12	3706952	6
3160546	14	3685063	4
3160546	14	3773347	5
3160546	14	4869921	10
3171360	20	5446745	14
3180116	26	3649055	1
3180116	21	3397096	24
3180116	9	3773346	19
3191505	47	3918035	36
3191505	47	3346260	16
3191505	47	3706952	36
3210615	16	5449559	16
3217416	18	3762213	57
3217416	20	3706952	43
3217416	12	3285044	35
3217416	20	3986726	16
3217416	32	3706952	36
3217416	20	3515425	30
3232025	6	3325268	4
3232025	88	3889070	6
3232025	109	3889070	6
3237887	7	5803970	6
3241009	25	3679760	25
3254466	7	3254521	16
3254466	7	3892016	25
3254521	15	4918175	16
3254521	15	3459751	40
3254521	15	3356995	15
3254521	27	3325268	4
3275500	6	4185974	6
3275500	6	3970180	60
3285044	80	4109220	4
3285044	97	3307728	32
3285044	16	4266732	12
3285044	35	3397096	10
3285044	16	3702531	12
3285044	44	4013659	15
3285198	1	4109220	1
3307728	15	5164828	41
3307728	25	5399497	10
3307728	15	5803970	6
3307728	15	4185974	6
3324753	9	3515425	1
3324753	14	3356995	38
3324753	13	5803970	6
3324753	9	5202053	5
3325268	13	5605786	6
3330402	19	3970180	63
3343487	23	3550714	19
3343487	27	4266732	5
3346260	5	5605786	6
3363696	5	4185974	3
3363696	12	3773346	8
3363696	5	4342178	1
3397096	24	4198135	41
3397096	10	5399497	10
3397096	18	5540978	31
3409160	10	3970180	63
3437115	14	5446745	14
3437115	14	5449559	10
3459751	35	3843467	17
3459751	8	3762213	49
3459751	3	4481822	9
3491663	31	3665937	11
3491663	31	6252408	3
3491663	38	5162684	15
3515425	7	4674232	19
3515425	7	3995646	11
3515425	30	5605786	6
3535459	19	4947229	20
3550714	19	4866928	14
3550714	16	4661932	30
3550714	16	5162684	14
3576094	20	5164828	41
3576094	5	3588361	26
3588361	26	3762213	16
3588361	26	3649055	9
3602819	1	4596402	10
3602819	1	4013659	15
3602819	1	3894551	6
3622236	13	5164828	22
3622236	13	3908990	1
3622236	13	3986726	10
3628699	15	5540978	6
3628699	15	4421617	34
3665937	11	4282631	23
3665937	11	4554203	13
3679760	25	5242830	16
3685063	22	4481822	9
3702531	4	4198135	33
3702531	4	5399497	9
3706952	6	4578203	4
3747326	37	3889070	11
3762213	200	3995646	11
3773346	3	4266732	5
3773347	9	3908990	1
3843467	53	5803970	6
3889070	11	4703025	31
3892016	31	4866928	14
3892016	31	3960069	26
3892016	25	5202053	5
3894551	6	6252408	10
3894551	16	4596402	10
3908990	1	4421617	18
3918035	25	5227176	18
3918035	36	3977374	17
3918035	23	5803970	6
3918035	25	4578203	4
3940602	5	5811827	9
3940602	1	4596402	10
3940602	1	4109220	1
3946610	9	4013659	22
3946610	9	4790982	25
3950424	3	4554203	2
3950424	9	4790982	25
3960069	2	3966682	6
3960069	31	4554203	8
3960069	31	5227176	18
3966682	2	4947229	20
3974065	21	5399497	10
3974065	21	4703025	26
3977374	1	4578203	12
3986726	10	5540978	31
4013659	22	4661932	13
4020291	13	4198135	49
4185974	3	5242830	16
4185974	3	4266732	5
4198135	1	4866928	14
4198135	29	5164828	19
4264614	9	4674232	4
4264614	13	5803970	6
4266732	12	5449559	16
4342178	1	4448905	15
4359869	24	4596402	10
4421617	51	5202053	5
4481822	9	4866928	14
4535029	12	5227176	18
4578203	26	5242830	16
4596402	10	5164828	19
4666955	17	5446745	14
4674232	19	4918175	8
4790982	15	5605786	6
4790982	10	5605786	6
4790982	24	5446745	14
5162684	25	5449559	16
5162684	11	5605786	7
5182593	10	5202053	5
5182593	10	5399497	9
2929749	17	19
2929749	6	19
2929749	8	11
2929749	6	22
2932097	4	35
2932097	3	35
2939490	18	19
2939490	19	48
2939490	19	52
2939490	19	38
2939490	18	48
2939490	19	24
2953537	260	306
2953537	88	306
2953537	99	197
2953537	176	306
2953537	135	319
2953537	91	197
2953537	62	192
2955013	46	49
2955013	14	92
2955013	42	71
2955013	70	92
2965656	8	15
2966488	1	15
2978835	35	54
2978835	1	54
2978835	7	54
2978835	1	35
2978835	7	35
2978835	7	48
2997484	16	29
2997484	16	22
2997484	4	22
2997484	22	29
3009232	37	38
3020763	13	21
3080074	12	14
3080441	1	16
3080441	3	16
3090905	13	19
3090922	28	46
3090922	10	46
3090922	22	29
3096614	5	17
3096614	5	13
3096614	13	17
3096796	10	13
3100332	8	16
3108800	4	11
3121911	11	27
3121911	24	30
3121911	16	35
3121911	4	33
3121911	4	25
3129067	15	22
3129067	9	15
3135911	26	31
3135911	23	31
3135911	23	26
3144303	3	6
3151489	9	16
3173310	4	9
3173310	14	22
3173310	4	22
3175099	15	62
3175099	15	46
3175099	33	62
3175099	15	33
3175099	46	62
3176007	8	18
3180390	7	15
3180390	7	55
3192886	9	11
3192886	11	21
3208214	53	62
3208214	34	39
3208214	39	62
3223614	13	46
3223614	17	46
3223614	13	23
3223614	17	23
3272529	5	11
3278954	3	8
3278954	3	10
3278954	6	10
3278954	8	10
3278954	4	6
3278954	3	6
3297698	21	25
3297698	17	25
3297698	13	25
3299784	33	42
3299784	35	42
3299784	5	33
3299784	5	42
3310211	19	21
3310211	18	19
3324272	15	29
3324272	5	23
3324272	5	15
3347235	2	6
3347235	6	15
3382715	5	29
3382715	22	33
3382715	29	33
3411192	13	27
3412484	17	19
3412484	11	19
3418975	10	16
3425996	44	61
3425996	34	54
3425996	26	54
3470592	3	12
3473527	5	15
3486640	5	8
3486640	5	9
3501146	4	37
3501146	20	24
3501146	4	24
3510471	37	58
3510471	19	37
3510471	28	58
3510471	21	41
3529987	9	99
3578998	20	36
3578998	20	38
3578998	34	37
3578998	6	36
3578998	20	34
3589472	1	10
3589472	1	12
3592338	19	84
3592338	33	42
3592338	20	42
3597808	40	60
3597808	14	35
3597808	35	60
3600675	1	15
3610327	1	18
3611879	16	38
3611879	72	73
3611879	16	19
3622222	4	7
3622222	7	11
3632668	7	14
3687902	4	41
3687902	11	18
3687902	11	41
3692767	3	10
3712746	11	15
3712746	6	11
3712746	6	15
3724648	17	25
3725472	15	31
3730744	5	16
3743316	1	41
3743316	12	16
3743316	12	45
3800780	3	5
3807193	2	22
3807193	2	12
3807193	12	22
3818748	12	14
3818748	9	12
3818748	9	14
3883399	9	28
3896677	8	9
3954183	2	3
3954183	45	56
3954183	3	31
3954183	31	56
3954183	2	56
3994768	5	64
3994768	33	34
3994768	5	19
3994768	15	34
4013413	2	12
4114445	5	14
4153138	13	14
4356874	27	43
4356874	6	41
4356874	6	15
4396550	2	14
4396550	2	7
4396550	7	14
4416000	5	18
4416000	5	13
4438468	5	16
4438468	12	16
4438468	5	12
4476887	12	16
4476887	11	16
4586904	2	42
4586904	14	38
4586904	14	42
4681522	13	20
4681522	13	17
4681522	13	19
4681522	11	12
4681522	7	19
4773573	3	6
4823546	9	16
4831148	13	18
4874651	6	15
4874651	11	15
4874651	11	28
4908437	8	18
4908437	8	11
4908437	11	18
4972453	4	22
4972453	17	24
4972453	22	24
4992243	19	23
4992243	18	23
4992243	4	23
4992243	2	19
5096181	4	13
5142374	7	11
5166378	20	25
5216165	12	13
5349303	5	7
5349303	6	20
5349303	5	20
5349303	5	6
5349303	7	12
5569981	15	16
5569981	2	15
5569981	2	24
5583008	6	23
5583008	6	32
5604363	3	19
5725655	18	26
5725655	2	26
5873163	1	2
5908190	4	13
5908190	13	17
5908190	5	13
5937337	8	16
5937337	11	15
5937337	15	16
6166434	6	23
6166434	1	15
6166434	1	23
6166434	1	2
6392685	10	24
6392685	3	9
6549862	8	10
6549862	8	14
6549862	10	14
2929749	11	3173310	4
2929749	11	3080074	12
2929749	8	3692767	10
2929749	19	3743316	38
2929749	17	3425996	33
2932097	31	3129067	15
2932097	31	4074525	24
2932097	4	2967091	7
2932097	31	4908437	11
2932097	31	2967091	7
2932097	54	3272529	5
2939490	34	3135911	23
2953537	151	3587383	2
2953537	216	3712746	6
2953537	71	5569981	2
2953537	149	3297698	25
2953573	8	3385086	7
2953573	8	4396550	2
2953573	8	3418975	10
2955013	71	3470592	3
2955013	104	5937337	15
2955013	70	5225691	5
2955013	46	3272529	11
2955013	145	3103119	19
2965656	25	4181758	7
2965656	25	3412484	17
2966488	1	3299784	35
2966488	1	3589472	10
2966488	15	3578998	37
2966488	15	3592338	84
2967091	7	3994768	23
2967091	7	4908437	11
2978835	54	4074525	24
2978835	54	3632668	7
2978835	1	3896677	8
2978835	35	4992243	4
2997484	22	3954183	45
2997484	16	5216165	3
2997484	4	3470592	12
2997484	22	3411192	27
2997484	16	3090922	29
3009232	38	3176007	18
3016197	13	3486640	8
3016197	13	3724648	17
3016197	13	5725655	26
3020763	13	5725655	18
3020763	17	3425996	33
3020763	21	4416000	18
3080074	14	4356874	41
3080074	14	3587383	2
3080441	3	3860376	18
3080441	1	3103119	19
3080441	3	3589472	10
3080441	1	3176007	8
3080441	3	6392685	24
3090905	13	3862423	12
3090905	13	3925368	13
3090905	19	4181758	14
3090922	10	3587383	2
3090922	46	3712746	3
3090922	16	3347235	2
3096614	5	3994768	19
3096614	17	3121911	24
3096796	13	3925368	23
3096796	13	3192886	9
3096796	13	5583008	6
3096796	10	3587383	2
3100332	8	3108800	4
3103119	19	4908437	18
3103119	19	3180390	55
3103119	19	3954183	3
3108800	11	4438468	16
3108800	4	5583008	23
3108800	4	6549862	14
3108800	11	3597808	61
3108800	4	4586904	14
3108800	4	3725472	15
3108800	4	6392685	3
3121911	27	5216165	4
3121911	30	5225691	5
3121911	33	3712746	3
3121911	2	3231002	10
3124028	11	3278954	8
3129067	22	3994768	15
3129067	22	5908190	28
3129067	15	3501146	4
3129067	9	3597808	61
3135911	31	3144303	6
3144303	6	4007035	7
3144303	15	5583008	23
3144303	6	3324272	23
3144303	6	5725655	2
3144303	3	5349303	12
3173310	14	4273026	9
3173310	14	3450022	5
3173310	22	5166378	25
3175099	62	4586904	42
3175099	62	4273026	9
3175099	15	3510471	19
3176007	18	3925368	23
3176007	18	5142374	7
3176007	8	3223614	17
3180390	55	3425996	22
3192886	9	3592338	68
3192886	11	4013413	12
3208214	62	3529987	18
3208214	39	4181758	7
3208214	62	3418975	10
3208214	34	3501146	20
3223614	13	3297698	17
3223614	13	3347235	11
3223614	13	4972453	17
3231002	10	4773573	3
3231002	10	3510471	56
3244135	11	4438468	16
3244135	11	5225691	5
3244135	11	6549862	8
3272529	5	3860376	18
3272529	11	5225691	5
3272529	5	4874651	11
3278954	3	5937337	8
3278954	4	5583008	6
3278954	4	3382715	29
3297698	25	4416000	5
3297698	13	3725472	15
3297698	13	3610327	28
3297698	21	3807193	12
3299784	35	4908437	18
3299784	33	5908190	5
3299784	33	4908437	8
3299784	42	4074525	24
3312712	16	3578998	36
3312712	16	3818748	9
3312712	16	3743316	12
3312712	16	4356874	41
3312712	16	4438468	16
3312712	16	6392685	36
3312712	16	3896677	8
3324272	23	3611879	38
3324272	29	6549862	14
3324272	23	3807193	12
3382715	22	3807193	22
3411192	13	4908437	18
3411192	27	3692767	3
3411192	13	3611879	23
3412484	11	4203692	13
3412484	19	3725472	31
3412484	17	4586904	42
3412484	19	3597808	35
3418975	16	4681522	4
3418975	16	6392685	20
3450022	5	3501146	20
3450022	5	5937337	16
3450022	5	4007035	7
3470592	3	4874651	6
3470592	3	5937337	8
3470592	3	3589472	12
3473527	15	4114445	5
3486640	9	5308173	5
3486640	9	6392685	15
3486640	8	3712746	3
3486640	8	4992243	23
3486640	8	4823546	16
3501146	37	5583008	23
3501146	4	6549862	14
3510471	41	3622222	11
